epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,41.3074,0.64748,0.84006,0.85509,0.96483,0.21738,0.61548,0.55219,0.63221,2.16631,0.85714,0.000458423,0.000458423,0.000458423
42,42.287,0.62044,0.75495,0.84103,0.96483,0.21738,0.61548,0.55219,0.63221,2.16631,0.85714,0.000466984,0.000466984,0.000466984
43,43.3397,0.63099,0.80005,0.82311,0.96314,0.20632,0.61979,0.5568,0.64753,2.22483,0.86035,0.000475403,0.000475403,0.000475403
44,44.3892,0.66835,0.80383,0.84247,0.96314,0.20632,0.61979,0.5568,0.64753,2.22483,0.86035,0.00048368,0.00048368,0.00048368
45,45.404,0.60534,0.84667,0.84432,0.96147,0.19632,0.62131,0.56329,0.64532,2.25668,0.86331,0.000491816,0.000491816,0.000491816
46,46.4381,0.60545,0.79604,0.83825,0.96147,0.19632,0.62131,0.56329,0.64532,2.25668,0.86331,0.000499811,0.000499811,0.000499811
47,47.489,0.61561,0.80112,0.84167,0.9795,0.20513,0.61902,0.54955,0.62907,2.22961,0.86159,0.000507664,0.000507664,0.000507664
48,48.5002,0.62108,0.80412,0.83055,0.9795,0.20513,0.61902,0.54955,0.62907,2.22961,0.86159,0.000515375,0.000515375,0.000515375
49,49.5485,0.66613,0.76211,0.85514,0.97921,0.19279,0.62209,0.55494,0.63019,2.20877,0.86291,0.000522945,0.000522945,0.000522945
50,50.5252,0.68054,0.82148,0.85411,0.97921,0.19279,0.62209,0.55494,0.63019,2.20877,0.86291,0.000530374,0.000530374,0.000530374
51,51.5335,0.56075,0.79307,0.82703,0.9824,0.19231,0.62748,0.55358,0.64178,2.1959,0.87444,0.000537661,0.000537661,0.000537661
52,52.4787,0.61187,0.74875,0.82728,0.9824,0.19231,0.62748,0.55358,0.64178,2.1959,0.87444,0.000544807,0.000544807,0.000544807
53,53.4521,0.63443,0.75533,0.83264,0.9824,0.19231,0.62748,0.55358,0.64178,2.1959,0.87444,0.000551811,0.000551811,0.000551811
54,54.4308,0.68552,0.73076,0.83324,0.97994,0.20044,0.63788,0.52907,0.61401,2.14688,0.87292,0.000558674,0.000558674,0.000558674
55,55.4234,0.59676,0.7935,0.83725,0.97994,0.20044,0.63788,0.52907,0.61401,2.14688,0.87292,0.000565395,0.000565395,0.000565395
56,56.424,0.63223,0.71662,0.82645,0.97994,0.20044,0.63788,0.52907,0.61401,2.14688,0.87292,0.000571975,0.000571975,0.000571975
57,57.3829,0.65834,0.83432,0.85641,0.9654,0.22155,0.66428,0.53934,0.61754,2.02578,0.86783,0.000578413,0.000578413,0.000578413
58,58.3345,0.60213,0.74773,0.84717,0.9654,0.22155,0.66428,0.53934,0.61754,2.02578,0.86783,0.00058471,0.00058471,0.00058471
59,59.3148,0.64221,0.72578,0.84704,0.9654,0.22155,0.66428,0.53934,0.61754,2.02578,0.86783,0.000590866,0.000590866,0.000590866
60,60.3007,0.61114,0.73472,0.83448,0.96939,0.25367,0.64805,0.52474,0.63963,1.90616,0.86123,0.00059688,0.00059688,0.00059688
61,61.2738,0.56269,0.77992,0.83109,0.96939,0.25367,0.64805,0.52474,0.63963,1.90616,0.86123,0.000602752,0.000602752,0.000602752
62,62.2192,0.56918,0.79199,0.85668,0.96939,0.25367,0.64805,0.52474,0.63963,1.90616,0.86123,0.000608483,0.000608483,0.000608483
63,63.2128,0.55333,0.69434,0.85405,0.9686,0.24666,0.63467,0.54304,0.64719,1.7981,0.87593,0.000614073,0.000614073,0.000614073
64,64.1928,0.61688,0.72302,0.83131,0.9686,0.24666,0.63467,0.54304,0.64719,1.7981,0.87593,0.000619521,0.000619521,0.000619521
65,65.1227,0.65455,0.87063,0.83206,0.9686,0.24666,0.63467,0.54304,0.64719,1.7981,0.87593,0.000624827,0.000624827,0.000624827
66,66.1235,0.55317,0.6597,0.82287,0.96526,0.22047,0.6362,0.54225,0.5933,1.75644,0.86417,0.000629993,0.000629993,0.000629993
67,67.1368,0.59728,0.70429,0.83083,0.96526,0.22047,0.6362,0.54225,0.5933,1.75644,0.86417,0.000635016,0.000635016,0.000635016
68,68.1243,0.61437,0.81112,0.81652,0.96526,0.22047,0.6362,0.54225,0.5933,1.75644,0.86417,0.000639898,0.000639898,0.000639898
69,69.1459,0.54673,0.72059,0.831,0.96734,0.40577,0.79697,0.6417,0.61117,1.73889,0.87047,0.000644639,0.000644639,0.000644639
70,70.1274,0.6388,0.78215,0.83568,0.96734,0.40577,0.79697,0.6417,0.61117,1.73889,0.87047,0.000649238,0.000649238,0.000649238
71,71.0661,0.60025,0.68423,0.8546,0.96734,0.40577,0.79697,0.6417,0.61117,1.73889,0.87047,0.000653696,0.000653696,0.000653696
72,72.0607,0.58727,0.67966,0.85104,0.9553,0.55976,0.79322,0.63861,0.6105,1.72365,0.86461,0.000658012,0.000658012,0.000658012
73,73.0412,0.59118,0.70434,0.83138,0.9553,0.55976,0.79322,0.63861,0.6105,1.72365,0.86461,0.000662187,0.000662187,0.000662187
74,73.9704,0.60465,0.72582,0.83884,0.9553,0.55976,0.79322,0.63861,0.6105,1.72365,0.86461,0.000666221,0.000666221,0.000666221
75,75.0122,0.66128,0.68672,0.83689,0.89143,0.57512,0.78626,0.62558,0.60587,1.7161,0.86678,0.000670112,0.000670112,0.000670112
76,75.9443,0.54607,0.66433,0.84095,0.89143,0.57512,0.78626,0.62558,0.60587,1.7161,0.86678,0.000673863,0.000673863,0.000673863
77,76.8866,0.52452,0.66708,0.84068,0.89143,0.57512,0.78626,0.62558,0.60587,1.7161,0.86678,0.000677472,0.000677472,0.000677472
78,77.8799,0.51331,0.66,0.83042,0.83868,0.62414,0.79621,0.6177,0.65252,1.56873,0.87128,0.000680939,0.000680939,0.000680939
79,78.8611,0.5556,0.63219,0.82088,0.83868,0.62414,0.79621,0.6177,0.65252,1.56873,0.87128,0.000684265,0.000684265,0.000684265
80,79.8216,0.6241,0.65889,0.83774,0.83868,0.62414,0.79621,0.6177,0.65252,1.56873,0.87128,0.00068745,0.00068745,0.00068745
81,80.8274,0.54103,0.63234,0.81237,0.80279,0.65385,0.80124,0.60263,0.66903,1.37335,0.86325,0.000690493,0.000690493,0.000690493
82,81.8265,0.54407,0.62245,0.81427,0.80279,0.65385,0.80124,0.60263,0.66903,1.37335,0.86325,0.000693394,0.000693394,0.000693394
83,82.8272,0.5646,0.67569,0.83563,0.80279,0.65385,0.80124,0.60263,0.66903,1.37335,0.86325,0.000696154,0.000696154,0.000696154
84,83.8422,0.58827,0.66346,0.83574,0.80186,0.65385,0.80025,0.6047,0.65248,1.22074,0.86307,0.000698773,0.000698773,0.000698773
85,84.8566,0.62503,0.71039,0.81921,0.80186,0.65385,0.80025,0.6047,0.65248,1.22074,0.86307,0.00070125,0.00070125,0.00070125
86,85.8467,0.63088,0.63474,0.81252,0.80186,0.65385,0.80025,0.6047,0.65248,1.22074,0.86307,0.000703586,0.000703586,0.000703586
87,86.7699,0.55658,0.76265,0.82361,0.80186,0.65385,0.80025,0.6047,0.65248,1.22074,0.86307,0.00070578,0.00070578,0.00070578
88,87.7096,0.5964,0.92939,0.87945,0.81133,0.65385,0.80523,0.59733,0.64363,1.02938,0.86181,0.000707833,0.000707833,0.000707833
89,88.6919,0.57344,0.61544,0.8118,0.81133,0.65385,0.80523,0.59733,0.64363,1.02938,0.86181,0.000709744,0.000709744,0.000709744
90,89.6863,0.54237,0.6055,0.80303,0.81133,0.65385,0.80523,0.59733,0.64363,1.02938,0.86181,0.000711514,0.000711514,0.000711514
91,90.6456,0.56266,0.60016,0.82537,0.81133,0.65385,0.80523,0.59733,0.64363,1.02938,0.86181,0.000713142,0.000713142,0.000713142
92,91.6628,0.64734,0.62456,0.83305,0.81394,0.66667,0.80985,0.60487,0.65423,0.94459,0.86306,0.000714629,0.000714629,0.000714629
93,92.6329,0.47066,0.62222,0.82058,0.81394,0.66667,0.80985,0.60487,0.65423,0.94459,0.86306,0.000715975,0.000715975,0.000715975
94,93.5788,0.57401,0.62994,0.82556,0.81394,0.66667,0.80985,0.60487,0.65423,0.94459,0.86306,0.000717179,0.000717179,0.000717179
95,94.5339,0.50809,0.58168,0.81286,0.81394,0.66667,0.80985,0.60487,0.65423,0.94459,0.86306,0.000718241,0.000718241,0.000718241
96,95.5246,0.50856,0.59124,0.79223,0.80883,0.66667,0.8104,0.64007,0.62246,0.88514,0.85734,0.000719162,0.000719162,0.000719162
97,96.4778,0.52573,0.60244,0.85295,0.80883,0.66667,0.8104,0.64007,0.62246,0.88514,0.85734,0.000719942,0.000719942,0.000719942
98,97.4427,0.50893,0.64712,0.85049,0.80883,0.66667,0.8104,0.64007,0.62246,0.88514,0.85734,0.00072058,0.00072058,0.00072058
99,98.4189,0.55123,0.61139,0.82596,0.80883,0.66667,0.8104,0.64007,0.62246,0.88514,0.85734,0.000721076,0.000721076,0.000721076
100,99.3695,0.50778,0.57967,0.83193,0.8121,0.66667,0.80753,0.65633,0.56855,0.91737,0.8546,0.000721431,0.000721431,0.000721431
101,100.317,0.51396,0.57324,0.80041,0.8121,0.66667,0.80753,0.65633,0.56855,0.91737,0.8546,0.000721645,0.000721645,0.000721645
102,101.235,0.49177,0.5722,0.81576,0.8121,0.66667,0.80753,0.65633,0.56855,0.91737,0.8546,0.000714571,0.000714571,0.000714571
103,102.247,0.66178,0.71277,0.81916,0.8121,0.66667,0.80753,0.65633,0.56855,0.91737,0.8546,0.000707498,0.000707498,0.000707498
104,103.223,0.50581,0.56263,0.85285,0.78305,0.83333,0.7998,0.61824,0.59446,0.99122,0.85512,0.000700424,0.000700424,0.000700424
105,104.169,0.51076,0.61379,0.81751,0.78305,0.83333,0.7998,0.61824,0.59446,0.99122,0.85512,0.000693351,0.000693351,0.000693351
106,105.111,0.62397,0.65502,0.84304,0.78305,0.83333,0.7998,0.61824,0.59446,0.99122,0.85512,0.000686277,0.000686277,0.000686277
107,106.035,0.54603,0.59851,0.84536,0.78305,0.83333,0.7998,0.61824,0.59446,0.99122,0.85512,0.000679204,0.000679204,0.000679204
108,107.013,0.50513,0.58179,0.80754,0.74498,0.80769,0.79632,0.64008,0.60721,1.08418,0.85318,0.00067213,0.00067213,0.00067213
109,107.996,0.58778,0.62903,0.84025,0.74498,0.80769,0.79632,0.64008,0.60721,1.08418,0.85318,0.000665057,0.000665057,0.000665057
110,108.942,0.53952,0.61812,0.81576,0.74498,0.80769,0.79632,0.64008,0.60721,1.08418,0.85318,0.000657983,0.000657983,0.000657983
111,109.842,0.50341,0.66265,0.80553,0.74498,0.80769,0.79632,0.64008,0.60721,1.08418,0.85318,0.000650909,0.000650909,0.000650909
112,110.882,0.48868,0.6206,0.81726,0.76715,0.78915,0.79291,0.64237,0.57519,1.07576,0.84955,0.000643836,0.000643836,0.000643836
113,111.857,0.54029,0.62117,0.81883,0.76715,0.78915,0.79291,0.64237,0.57519,1.07576,0.84955,0.000636762,0.000636762,0.000636762
114,112.787,0.48861,0.57341,0.82332,0.76715,0.78915,0.79291,0.64237,0.57519,1.07576,0.84955,0.000629689,0.000629689,0.000629689
115,113.729,0.47758,0.56724,0.80825,0.76715,0.78915,0.79291,0.64237,0.57519,1.07576,0.84955,0.000622615,0.000622615,0.000622615
116,114.697,0.49411,0.57953,0.81083,0.78626,0.76923,0.79815,0.63217,0.59027,0.98762,0.8538,0.000615542,0.000615542,0.000615542
117,115.675,0.52869,0.58583,0.82324,0.78626,0.76923,0.79815,0.63217,0.59027,0.98762,0.8538,0.000608468,0.000608468,0.000608468
118,116.626,0.5615,0.60015,0.81396,0.78626,0.76923,0.79815,0.63217,0.59027,0.98762,0.8538,0.000601395,0.000601395,0.000601395
119,117.603,0.51863,0.59203,0.81277,0.78626,0.76923,0.79815,0.63217,0.59027,0.98762,0.8538,0.000594321,0.000594321,0.000594321
120,118.633,0.50102,0.56414,0.83154,0.80954,0.78205,0.80168,0.63743,0.58759,0.89808,0.85336,0.000587248,0.000587248,0.000587248
121,119.636,0.44378,0.56382,0.81354,0.80954,0.78205,0.80168,0.63743,0.58759,0.89808,0.85336,0.000580174,0.000580174,0.000580174
122,120.603,0.52118,0.58252,0.83553,0.80954,0.78205,0.80168,0.63743,0.58759,0.89808,0.85336,0.0005731,0.0005731,0.0005731
123,121.565,0.49335,0.55831,0.83107,0.80954,0.78205,0.80168,0.63743,0.58759,0.89808,0.85336,0.000566027,0.000566027,0.000566027
