epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,179.344,0.44844,0.51834,0.82898,0.79591,0.82266,0.81072,0.66746,0.51104,0.64863,0.83926,0.000148687,0.000148687,0.000148687
183,180.321,0.37219,0.47901,0.8177,0.79591,0.82266,0.81072,0.66746,0.51104,0.64863,0.83926,0.000141614,0.000141614,0.000141614
184,181.313,0.42956,0.47374,0.80227,0.80234,0.82227,0.81072,0.66638,0.5192,0.64078,0.84029,0.00013454,0.00013454,0.00013454
185,182.239,0.35947,0.4557,0.79032,0.80234,0.82227,0.81072,0.66638,0.5192,0.64078,0.84029,0.000127467,0.000127467,0.000127467
186,183.193,0.42898,0.50231,0.81868,0.80234,0.82227,0.81072,0.66638,0.5192,0.64078,0.84029,0.000120393,0.000120393,0.000120393
187,184.166,0.44716,0.5128,0.79629,0.80234,0.82227,0.81072,0.66638,0.5192,0.64078,0.84029,0.00011332,0.00011332,0.00011332
188,185.121,0.39179,0.49717,0.8088,0.81832,0.82878,0.81281,0.66827,0.5115,0.63227,0.8413,0.000106246,0.000106246,0.000106246
189,186.07,0.42637,0.49807,0.82243,0.81832,0.82878,0.81281,0.66827,0.5115,0.63227,0.8413,9.91726e-05,9.91726e-05,9.91726e-05
190,187.018,0.45157,0.51521,0.80442,0.81832,0.82878,0.81281,0.66827,0.5115,0.63227,0.8413,9.20991e-05,9.20991e-05,9.20991e-05
191,187.93,0.38942,0.50169,0.80094,0.81832,0.82878,0.81281,0.66827,0.5115,0.63227,0.8413,8.50255e-05,8.50255e-05,8.50255e-05
192,188.87,0.404,0.53725,0.78304,0.81496,0.83307,0.81276,0.66747,0.50456,0.62254,0.84104,7.7952e-05,7.7952e-05,7.7952e-05
193,189.804,0.46266,0.60074,0.78716,0.81496,0.83307,0.81276,0.66747,0.50456,0.62254,0.84104,7.08784e-05,7.08784e-05,7.08784e-05
194,190.688,0.40818,0.55106,0.76586,0.81496,0.83307,0.81276,0.66747,0.50456,0.62254,0.84104,6.38049e-05,6.38049e-05,6.38049e-05
195,191.59,0.44107,0.55221,0.80866,0.81496,0.83307,0.81276,0.66747,0.50456,0.62254,0.84104,5.67313e-05,5.67313e-05,5.67313e-05
196,192.539,0.39396,0.55152,0.7884,0.68616,0.95223,0.92348,0.6695,0.5001,0.62203,0.8414,4.96578e-05,4.96578e-05,4.96578e-05
197,193.448,0.43446,0.59733,0.78395,0.68616,0.95223,0.92348,0.6695,0.5001,0.62203,0.8414,4.25842e-05,4.25842e-05,4.25842e-05
198,194.377,0.39995,0.52874,0.79275,0.68616,0.95223,0.92348,0.6695,0.5001,0.62203,0.8414,3.55107e-05,3.55107e-05,3.55107e-05
199,195.296,0.34198,0.47667,0.799,0.68616,0.95223,0.92348,0.6695,0.5001,0.62203,0.8414,2.84371e-05,2.84371e-05,2.84371e-05
200,196.266,0.39285,0.49713,0.79463,0.68838,0.96055,0.92284,0.66777,0.49998,0.62168,0.8424,2.13636e-05,2.13636e-05,2.13636e-05
